t,x,y,speed,lat_err,line0_err,line1_err,steer_angle
0.1900000125169754,6.000259876251221,5.999748229980469,0.031450802883892216,0.0018313734672711622,,,-0.6409807135449067
0.20000001788139343,6.000226974487305,5.99976921081543,0.023661995640699058,0.0015925152030341495,-0.0015625,-0.0015625,-0.3697620048531284
0.21000002324581146,6.000035762786865,5.999818325042725,0.03471796085137703,0.0012601885375786224,-0.0015625,-0.0015625,-0.2929233367656312
0.2200000286102295,5.999622821807861,5.999871730804443,0.05625619044636594,-0.0008317780723643869,-0.0015625,-0.0015625,0.17974293371264272
0.23000003397464752,5.998990535736084,5.99989652633667,0.07438715106827923,-0.0014302656130292973,,,0.3273787325123365
0.24000003933906555,5.998140811920166,5.999912738800049,0.08988702138125773,-0.001688290988596269,,,0.38852618403655637
0.2500000298023224,5.997067451477051,5.99992036819458,0.11159942800231683,0.00035063374992200686,0.0015625,0.0015625,-0.06877381063384466
0.2600000202655792,5.995777606964111,5.999922275543213,0.13235299873937942,0.000601302201613768,-0.0015625,-0.0015625,-0.13799039545504066
0.27000001072883606,5.994265079498291,5.999927997589111,0.1529497657176036,0.00038336711759762306,-0.0015625,-0.0015625,-0.08988087021495411
0.2800000011920929,5.9925336837768555,5.999927997589111,0.1757340189315375,0.0010814475698871311,0.0015625,0.0015625,-0.24554058427181522
0.28999999165534973,5.990583419799805,5.999922752380371,0.19737878939083614,0.0006775591570213913,0.0015625,0.0015625,-0.15909911358924708
0.29999998211860657,5.988410949707031,5.999945163726807,0.22003644076515896,0.0002769866650631609,0.003125,0.003125,-0.0662243292076232
0.3099999725818634,5.986021995544434,5.999948501586914,0.23984409589489347,-0.00078305111511274,0.003125,0.003125,0.17465045072214236
0.31999996304512024,5.983409404754639,5.9999494552612305,0.261643301617962,0.001162913107930378,0.003125,0.003125,-0.2566845773059692
0.3299999535083771,5.9805803298950195,5.999945640563965,0.28377102770360785,-0.0006103163904581989,0.003125,0.003125,0.1298044373296116
0.3399999439716339,5.977530002593994,5.999941349029541,0.3060262856801803,-0.0002756784424601551,,,0.0662179645200728
0.34999993443489075,5.974261283874512,5.999936103820801,0.32772226011819894,0.0010556673568731271,,,-0.23601168077940451
0.3599999248981476,5.970773696899414,5.999945640563965,0.34915616794822835,-0.00020089024529918207,,,0.03852671048600647
0.3699999153614044,5.967064380645752,5.999942302703857,0.371584721559589,-0.000488386654777275,-0.0015625,-0.0015625,0.11147624109332221
0.37999990582466125,5.963135242462158,5.999915599822998,0.3931242754982238,0.0007454199297171327,-0.0015625,-0.0015625,-0.16474652978241866
0.3899998962879181,5.958987236022949,5.999888896942139,0.414931764170504,0.0006600440738204545,-0.0015625,-0.0015625,-0.15331743889053115
0.3999998867511749,5.954618453979492,5.999879837036133,0.43729331733384214,0.0015845279468723551,-0.003125,-0.003125,-0.3604036873936113
0.40999987721443176,5.950030326843262,5.999894618988037,0.4599798353184027,-0.0012732851098438056,-0.0015625,-0.0015625,0.2767800950142706
0.4199998676776886,5.945224761962891,5.9998979568481445,0.48099095146356013,0.0025967528794130345,-0.0015625,-0.0015625,-0.5758259131963797
0.42999985814094543,5.940196514129639,5.999889373779297,0.50367453853352,0.0003821897682935018,-0.0015625,-0.0015625,-0.10264457759594704
0.43999984860420227,5.934948444366455,5.999874114990234,0.5253144119812426,0.00135898622150584,-0.0015625,-0.0015625,-0.307327991904153
0.4499998390674591,5.929481029510498,5.999858379364014,0.5468400234343627,-0.0019123978312679765,-0.0015625,-0.0015625,0.4218736527541501
0.45999982953071594,5.923794746398926,5.999858379364014,0.5687097025748659,-0.000728940506594564,-0.0015625,-0.0015625,0.176384893393259
0.4699998199939728,5.91788387298584,5.999885082244873,0.5914218824355157,0.0008332456387255536,-0.0015625,-0.0015625,-0.18354305451750766
0.4799998104572296,5.9117584228515625,5.99993896484375,0.6130753499013412,-0.001180904882214713,-0.0015625,-0.0015625,0.2602989525464886
0.48999980092048645,5.905413627624512,5.999973773956299,0.6349934453439111,-0.00032851347982380374,0.0015625,0.0015625,0.08156642077178888
0.4999997913837433,5.898848056793213,5.999995708465576,0.6571421990248085,-0.0006078302997080511,0.0015625,0.0015625,0.1384324822926386
0.5099998116493225,5.892059803009033,6.000016212463379,0.6797970997356029,0.0003327933889486364,0.0015625,0.0015625,-0.07116310638318424
0.5199998021125793,5.885052680969238,6.000032901763916,0.7012944690557608,-0.0005832713163136917,0.0015625,0.0015625,0.12897031718313873
0.5299997925758362,5.877824306488037,6.000030040740967,0.7234303690033108,0.0009800149277151041,-0.0015625,-0.0015625,-0.21674462655956575
0.539999783039093,5.8703789710998535,6.000030040740967,0.7450985171291821,-0.0005867561872888383,0.0015625,0.0015625,0.1257071122329526
0.5499997735023499,5.862711429595947,6.000020503997803,0.767399641499505,0.0004882535398927362,0.0015625,0.0015625,-0.10587416880995862
0.5599997639656067,5.854824542999268,5.9999918937683105,0.7890818096248173,-0.00022251454148101242,-0.003125,-0.003125,0.04681504332560284
0.5699997544288635,5.846717834472656,5.999982833862305,0.8109442326714046,-0.0014125519670024817,-0.0015625,-0.0015625,0.3193774448851959
0.5799997448921204,5.838390350341797,5.999966144561768,0.833101036917276,0.00047192653449106925,-0.0015625,-0.0015625,-0.09743268308220693
0.5899997353553772,5.829848289489746,5.999969959259033,0.8544519424772022,0.001033018505124374,-0.0015625,-0.0015625,-0.23581624385246752
0.599999725818634,5.821085453033447,5.999995231628418,0.8765143490222161,0.0008138224289031151,-0.003125,-0.003125,-0.1893970581502541
