51729,52500,53790,55330,55476,54907,58300,56449,57804,58561,59286,58917,60570,61190,61416,61918,61979,61129,62274,61773,61671,48483,19942,17502,18146,17166,18263,40410,58382,58506,58572,58777,60053,57987,59105,58986,58408,58115,57315,57496,57319,56028,56664,56724,56281,57329,56120,56322,56319,56014,55747,56627,55276,55216,55472,54610,54396,54410,54375,54589,55514,55403,55656,55011,55661,54939,54248,55224,56501,54601,56007,55308,54709,54196,55806,55158,55875,55932,55992,54640,56188,55075,55123,53576,54423,53245,53656,53636,54792,55297,54339,56224,56610,55297,56997,57354,57609,56963,57424,57993,58106,58508,57114,59385,60066,59704,59598,58688,59649,59181,58896,58463,58249,56742,58085,55761,56196,55328,54757,53632,53258,52339,50893,50237,50518,47725,48313,46009,
50394,52909,54415,55974,56144,56026,59074,56904,58163,59054,59380,58986,60800,61330,61590,61943,62044,61454,62669,62504,62842,62296,63876,60356,61504,61711,62261,60039,60009,60044,59679,43315,18201,16682,17170,16376,17034,33847,57715,57878,57753,56743,57076,57333,56760,57073,56632,56936,56526,56356,56224,57095,55739,55582,56017,54862,54763,54782,54688,54820,55951,55762,56014,55183,56220,55230,54356,55345,56767,54873,56095,55195,54849,54229,56022,55375,56263,56347,56313,54943,56452,55438,55552,53548,54691,53433,53575,53617,54931,56201,54294,56095,56623,55222,56852,57303,57820,57415,56298,58751,58803,59251,57872,60298,60821,60493,60333,59526,60452,60240,59622,59127,59164,57382,58738,57178,56817,56257,55713,54355,53784,53344,51561,50712,50860,47937,48704,46383,
51804,53168,54848,55932,56504,56402,59494,57730,59467,59693,60013,60001,61454,62294,62136,62478,62563,61929,63053,62632,63019,62211,63885,60426,61763,62191,62529,60673,60919,60953,60883,60904,62158,60140,61077,60851,59939,38762,17394,16317,16742,15708,16711,30064,56663,58118,57204,57281,57317,57054,56488,57545,55934,56116,56190,56050,55360,55318,55244,55533,56398,56281,56663,55822,56483,55649,54911,55860,57054,55465,56538,55514,55198,54760,56446,55699,56469,56469,56438,55078,56544,55782,55979,54288,55112,53795,54063,53918,55223,55695,54671,56499,56923,55575,57300,57566,57939,57660,58046,58985,58755,59500,58838,60480,61399,61100,60821,59883,61209,61044,60378,60006,59826,58160,59687,57862,57532,56933,56253,55006,54303,53806,52218,51494,51641,48504,49486,46864,
52653,51115,52781,54265,54791,54935,57857,56230,57960,59132,59738,59257,61519,62043,62742,63080,63466,63177,64270,64019,64410,63824,65535,61916,62986,63050,63743,61423,61320,61296,61175,61378,62501,60350,61562,61332,60894,60952,60236,60096,59779,58682,59085,58832,58702,59803,58681,58843,58565,58277,57954,58888,57307,57093,57117,36874,16459,15548,15955,15452,16204,19198,52565,56010,56684,56001,55301,56370,57675,55895,56273,56186,55876,55364,56917,56410,57102,57292,57242,55939,57470,56573,56522,54868,55690,54419,54663,54301,55742,56322,55292,57144,57553,56095,57680,57841,58214,57985,58493,59227,59267,59760,58346,60603,61227,61149,60935,60433,61269,61404,60777,60354,60315,58608,60106,58816,58527,57646,57375,56322,54021,55226,53616,52795,53161,49976,50623,48250,
49857,48923,50434,51468,51906,51776,54824,52958,54610,55573,56854,56378,58763,59585,60084,60450,61112,60764,62006,61692,62030,61739,63151,60075,61381,61673,62484,60611,60549,60472,60739,61050,62087,59940,60947,60570,59882,59885,59033,58748,58524,57384,57508,57789,57378,58467,57432,57729,57664,57242,56878,58129,56174,56307,57809,55624,55684,55360,55365,55470,56356,56031,56223,53781,24735,15969,16163,15523,16295,15240,25984,53682,54447,54201,55856,55216,55950,56138,56188,54908,56392,55278,55268,53607,54710,53443,53792,53695,54834,55372,54341,56137,56405,54987,56700,56768,57160,56890,57912,57892,58151,58525,57297,59477,60128,59903,59673,58849,59993,59892,59289,58857,58956,57321,58473,57178,57004,56387,55793,54832,54063,53788,52370,51659,51971,49206,49772,47613,
50537,48642,50100,50734,51001,50633,53434,51575,52771,53366,53963,53622,55638,56494,56805,57486,57719,57584,58875,58629,59442,59050,60743,57812,59279,59516,60494,58908,59045,58933,59766,60236,62036,60226,61957,62379,62051,62820,62215,62252,62306,61315,61970,62178,61888,63261,62322,62793,62865,62644,62606,63636,61795,61921,62017,61120,60606,60521,60303,60589,61195,60883,61350,60561,61139,60349,59593,60652,62230,60240,61643,60791,60376,59978,61582,60928,61714,61958,61788,60371,61984,60677,60771,58408,59368,58082,58131,57920,59152,59829,58565,60422,60693,59270,60620,44474,17348,15613,16293,15646,16223,16075,45918,62501,63272,63319,63300,62449,63640,63885,63048,62754,62432,60911,61981,60807,60451,61028,59073,57929,57348,56652,54922,53962,54416,51158,51694,49319,
50369,49045,50676,51766,52270,52241,55278,53497,54772,55607,56289,56032,58106,59073,59481,60298,60947,61011,62434,58875,63019,62780,64093,60915,62208,62729,63229,61677,61975,61992,62392,62842,64119,62387,63440,63508,62550,62820,61907,61759,61435,60220,60302,60712,59915,60933,59948,60175,59969,59847,59415,60471,58853,58941,59221,58208,57916,57846,57711,57879,58652,58306,58492,57581,58110,57290,56389,57386,58626,56468,57809,55934,29591,15453,16100,15139,15857,15223,18367,50746,56877,55773,56036,55383,55626,54340,54608,53768,55481,56312,55318,57149,57553,56044,57872,58221,58630,58110,58452,59333,59291,59668,58254,60704,61250,60854,60927,59929,61035,61380,60849,59872,60176,58575,59915,58378,58225,57277,57100,55869,55232,54654,52919,52158,52669,49639,50475,47890,
53801,53676,55477,56829,57257,57460,60625,59026,60930,61570,62119,62020,64163,64901,65064,65535,65535,65183,65535,65535,65535,65087,65535,62986,64108,64103,64593,62555,62615,62622,62771,62924,64018,62007,63305,62819,62232,62182,61248,61161,60828,59608,59671,59924,59155,58336,26981,16531,16951,16163,16404,16106,33271,56429,57140,56201,56183,56048,56113,56379,57425,57225,57486,56877,57467,56702,55920,56934,58234,56496,57735,56769,56302,55956,57462,56770,57477,57585,57571,56126,57727,56619,56756,55107,55934,54615,54964,53956,55984,56567,55424,57201,57823,56224,58080,58341,58526,58406,58819,59690,59741,60240,58792,61084,61910,61860,61713,60719,61742,61608,61473,61230,61167,59414,60608,59383,59100,58232,57699,56336,55810,55156,53435,52536,52781,49604,50351,47846,
50781,53549,54720,55853,55920,56139,59105,56925,58443,59078,59577,59352,61677,61910,62130,62344,62705,62056,62940,62363,62765,61829,63109,57857,28574,17982,18043,16747,17285,22259,56860,58972,60111,58260,59535,59336,58839,58700,57659,57837,57633,56628,56860,56909,56514,57731,56727,56724,56791,56480,56061,56967,55683,55403,55659,54960,54416,54657,54756,54878,55986,55736,56066,55370,56073,55155,54282,55242,56853,54891,56107,55174,54887,54533,56075,55380,56102,56308,56335,54988,56601,55419,55476,53784,54849,53608,53857,53930,55135,55676,54600,56444,56918,55558,57345,57642,58168,57553,57891,58778,58981,59124,58050,58671,60505,60210,59865,58953,60070,60009,59082,58891,58660,57126,58424,56892,56667,55766,55290,53908,53368,52867,51153,50351,50869,47959,48585,46233,
53264,51391,53377,54704,55121,55380,58381,56492,58263,58966,59651,59509,61730,62719,63066,63569,64003,63578,64366,64299,64706,64283,65535,62163,63144,63263,63539,61588,61577,61498,61287,61511,62687,60712,61930,61767,61002,61020,60106,60020,59760,58552,58617,59488,58334,59360,58058,58048,57987,57512,56219,33110,16849,15653,15993,15138,15572,20746,52339,54799,55689,55497,55986,55290,55910,55237,54663,55287,56855,54999,56169,55264,55041,54662,56367,55420,56282,56316,56404,55036,56508,55252,55543,53614,54736,53273,53656,53768,54744,55328,54341,56216,56251,55061,56540,56997,57406,57168,57413,58203,58114,58796,57350,59564,60271,60166,60000,59103,60105,60372,59724,59224,59463,57754,59290,57777,57558,57028,56514,55269,54819,54348,52652,51797,52132,49310,49868,47399,
